,mushotel_type,is_canceled,booking_lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,weekend_stays,weekday_stays,wisymurfs,smurflings,number_of_babies,meal_type,smurfland,market_segment,booking_channel,smurfy_smurf,number_of_previous_cancellations,previous_bookings_not_canceled,requested_mushroom_type,allocated_mushroom_type,booking_changes,deposit_type,agent,moberry,days_in_waiting_list,customer_type,average_daily_rate,smurfberry_spaces_required,number_of_special_requests,smurvation_status_date,mushotel_location
98721,Village Mushotel,0,11,Smurfy Passage,Frostwisp,41,2,2.0,0.0,2.0,0.0,0.0,SC,BEL,Giggleline TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Swift-Smurf,135.0,0.0,2.0,"Smurfy Frostwisp Passage, 04",Smurfy Jungle
78892,Village Mushotel,0,30,Wisdom Whirlwind,Frostwisp,42,16,1.0,2.0,2.0,0.0,0.0,BB,COL,Giggleline TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Leaf,102.0,0.0,2.0,"Wisdom Frostwisp Whirlwind, 19",Smurfy Jungle
79486,Village Mushotel,0,34,Wisdom Whirlwind,Frostwisp,44,25,2.0,1.0,1.0,0.0,0.0,BB,SMF,Corporate,Corporate,0.0,0.0,0.0,A,A,1.0,No Deposit,,40.0,0.0,Swift-Smurf,65.0,0.0,0.0,"Wisdom Frostwisp Whirlwind, 28",Smurfy Jungle
44842,Village Mushotel,0,43,Wisdom Whirlwind,Frostwisp,42,13,0.0,1.0,2.0,0.0,0.0,BB,SMF,Gigglefree TA/TO,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,63.0,,0.0,Swift-Party,85.0,0.0,0.0,"Wisdom Frostwisp Whirlwind, 14",Smurfy Jungle
964,Smurfy Mushotel,0,3,Wisdom Whirlwind,Harvestember,32,8,2.0,2.0,2.0,0.0,0.0,HB,MRA,Giggleline TA,TA/TO,0.0,0.0,0.0,A,D,0.0,No Deposit,240.0,,0.0,Swift-Smurf,211.75,1.0,3.0,"Wisdom Harvestember Whirlwind, 12",Smurfy Jungle
29956,Smurfy Mushotel,0,6,Smurfy Passage,Hearthglen,46,7,1.0,2.0,2.0,0.0,0.0,BB,BRA,Giggleline TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,240.0,,0.0,Swift-Smurf,68.33,0.0,2.0,"Smurfy Hearthglen Passage, 10",Smurfy Jungle
31777,Smurfy Mushotel,0,1,Blissful Beams,Blossommonth,1,4,0.0,2.0,2.0,0.0,0.0,BB,SMF,Gigglefree TA/TO,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,6.0,,0.0,Swift-Smurf,34.0,0.0,1.0,"Blissful Blossommonth Beams, 06",Smurfy Jungle
86326,Village Mushotel,0,116,Smurfy Passage,Frostmarch,13,25,2.0,5.0,2.0,0.0,0.0,BB,SWE,Giggleline TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Leaf,104.14,0.0,1.0,"Smurfy Sproutpril Passage, 01",Smurfy Jungle
111935,Village Mushotel,0,5,Blissful Beams,Rainboway,20,17,0.0,1.0,1.0,0.0,0.0,BB,MRA,Corporate,Corporate,0.0,0.0,0.0,D,F,0.0,No Deposit,,150.0,0.0,Swift-Smurf,148.5,0.0,0.0,"Blissful Rainboway Beams, 18",Smurfy Jungle
85161,Village Mushotel,0,16,Smurfy Passage,Frostmarch,11,8,0.0,3.0,1.0,0.0,0.0,BB,FRK,Corporate,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,,209.0,0.0,Swift-Party,76.0,0.0,0.0,"Smurfy Frostmarch Passage, 11",Smurfy Jungle
