smurvation_id,mushotel_type,is_canceled,booking_lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,weekend_stays,weekday_stays,wisymurfs,smurflings,number_of_babies,meal_type,smurfland,market_segment,booking_channel,smurfy_smurf,number_of_previous_cancellations,previous_bookings_not_canceled,requested_mushroom_type,allocated_mushroom_type,booking_changes,deposit_type,agent,moberry,days_in_waiting_list,customer_type,average_daily_rate,smurfberry_spaces_required,number_of_special_requests,smurvation_status_date,mushotel_location
98721,Village Mushotel,0,11,Smurfy Passage,Frostwisp,41,2,2,0,2,0.0,0,SC,BEL,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Swift-Smurf,135.0,0,2,"Frostwisp, Smurfy Passage - 04",Smurfy Jungle
78892,Village Mushotel,0,30,Wisdom Whirlwind,Frostwisp,42,16,1,2,2,0.0,0,BB,COL,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Leaf,102.0,0,2,"Frostwisp, Wisdom Whirlwind - 19",Smurfy Jungle
79486,Village Mushotel,0,34,Wisdom Whirlwind,Frostwisp,44,25,2,1,1,0.0,0,BB,SMF,Corporate,Corporate,0,0,0,A,A,1,No Deposit,,40.0,0,Swift-Smurf,65.0,0,0,"Frostwisp, Wisdom Whirlwind - 28",Smurfy Jungle
44842,Village Mushotel,0,43,Wisdom Whirlwind,Frostwisp,42,13,0,1,2,0.0,0,BB,SMF,Gigglefree TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,63.0,,0,Swift-Party,85.0,0,0,"Frostwisp, Wisdom Whirlwind - 14",Smurfy Jungle
964,Smurfy Mushotel,0,3,Wisdom Whirlwind,Harvestember,32,8,2,2,2,0.0,0,HB,MRA,Giggleline TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Swift-Smurf,211.75,1,3,"Harvestember, Wisdom Whirlwind - 12",Smurfy Jungle
29956,Smurfy Mushotel,0,6,Smurfy Passage,Hearthglen,46,7,1,2,2,0.0,0,BB,BRA,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Swift-Smurf,68.33,0,2,"Hearthglen, Smurfy Passage - 10",Smurfy Jungle
31777,Smurfy Mushotel,0,1,Blissful Beams,Blossommonth,1,4,0,2,2,0.0,0,BB,SMF,Gigglefree TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Swift-Smurf,34.0,0,1,"Blossommonth, Blissful Beams - 06",Smurfy Jungle
86326,Village Mushotel,0,116,Smurfy Passage,Frostmarch,13,25,2,5,2,0.0,0,BB,SWE,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Leaf,104.14,0,1,"Sproutpril, Smurfy Passage - 01",Smurfy Jungle
111935,Village Mushotel,0,5,Blissful Beams,Rainboway,20,17,0,1,1,0.0,0,BB,MRA,Corporate,Corporate,0,0,0,D,F,0,No Deposit,,150.0,0,Swift-Smurf,148.5,0,0,"Rainboway, Blissful Beams - 18",Smurfy Jungle
85161,Village Mushotel,0,16,Smurfy Passage,Frostmarch,11,8,0,3,1,0.0,0,BB,FRK,Corporate,TA/TO,0,0,0,D,D,0,No Deposit,,209.0,0,Swift-Party,76.0,0,0,"Frostmarch, Smurfy Passage - 11",Smurfy Jungle
94522,Village Mushotel,0,153,Smurfy Passage,Smurfly,31,30,2,5,1,1.0,0,BB,FRK,Giggleline TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Swift-Smurf,101.35,0,1,"Harvestember, Smurfy Passage - 06",Smurfy Jungle
92800,Village Mushotel,0,60,Smurfy Passage,Smurfly,29,10,2,0,2,0.0,0,BB,WSD,Gigglefree TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22.0,,0,Swift-Smurf,72.25,0,0,"Smurfly, Smurfy Passage - 12",Smurfy Jungle
45223,Village Mushotel,1,50,Wisdom Whirlwind,Frostwisp,43,24,1,1,2,0.0,0,BB,SMF,Squads,Smurfy Way,0,0,0,A,A,0,Non Refund,,,0,Swift-Smurf,75.0,0,0,"Frostwisp, Wisdom Whirlwind - 07",Smurfy Jungle
25696,Smurfy Mushotel,0,61,Smurfy Passage,Smurfly,28,5,0,2,3,0.0,0,BB,SMF,Smurfy Way,Smurfy Way,0,0,0,F,F,0,No Deposit,,,0,Swift-Smurf,222.0,1,2,"Smurfly, Smurfy Passage - 07",Smurfy Jungle
23839,Smurfy Mushotel,0,294,Smurfy Passage,Sunspark,26,21,0,5,2,0.0,0,BB,SMF,Giggleline TA,TA/TO,0,0,1,A,A,0,No Deposit,240.0,,0,Swift-Smurf,64.8,0,1,"Sunspark, Smurfy Passage - 26",Smurfy Jungle
84184,Village Mushotel,0,10,Smurfy Passage,Sparkleuary,8,19,0,1,2,0.0,0,BB,SMF,Gigglefree TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,111.0,,0,Swift-Party,71.1,0,0,"Sparkleuary, Smurfy Passage - 20",Smurfy Jungle
51527,Village Mushotel,1,29,Smurfy Passage,Rainboway,21,20,2,3,2,0.0,0,BB,USA,Giggleline TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Swift-Smurf,132.72,0,1,"Sproutpril, Smurfy Passage - 21",Smurfy Jungle
7538,Smurfy Mushotel,1,162,Smurfy Passage,Harvestember,33,13,2,5,2,2.0,0,BB,IRL,Smurfy Way,Smurfy Way,0,0,0,C,C,1,No Deposit,250.0,,0,Swift-Smurf,189.0,0,1,"Frostmarch, Smurfy Passage - 08",Smurfy Jungle
114490,Village Mushotel,0,28,Blissful Beams,Sunspark,25,20,0,3,1,0.0,0,BB,FRK,Corporate,Corporate,0,0,0,A,A,1,No Deposit,,357.0,0,Swift-Smurf,130.5,0,0,"Sunspark, Blissful Beams - 23",Smurfy Jungle
117202,Village Mushotel,0,207,Blissful Beams,Smurfly,30,29,1,1,3,1.0,0,BB,WSD,Smurfy Way,Smurfy Way,0,0,0,E,E,0,No Deposit,14.0,,0,Swift-Smurf,187.5,0,0,"Smurfly, Blissful Beams - 31",Smurfy Jungle
22148,Smurfy Mushotel,0,12,Smurfy Passage,Frostmarch,12,14,1,4,2,0.0,0,HB,MRA,Gigglefree TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,177.0,,0,Swift-Smurf,61.0,1,0,"Frostmarch, Smurfy Passage - 19",Smurfy Jungle
