id,satisfied,evaluation,projects,work_hours,total_time_spent,had_accident,still_working,got_promoted,department,salary_range
1,0.1,0.84,"WebCamp,Raid Dorms Cook,Salah lFrog,AiFest23,  Penalizing System,  AiFest23  ,Penalizing System",250,4,0,1,0,product_mng,low
2,0.57,0.68,"  Penalizing System,Drug Design,WebCamp,AiFest23",154,3,1,0,0,management,medium
3,0.39,0.48,"Drug Design,  AiFest23  ",154,3,0,1,0,technical,low
4,0.91,0.68,"AiFest23,Smurfs  ,SecCamp ,Drug Design",132,4,0,0,0,IT,medium
5,0.82,0.97,"Smurfs  ,Farmy, SecCamp ,  Drug Design  ,WebCamp",263,5,0,1,0,technical,medium
6,0.1,0.96,"AiFest23,Drug Design,  AiFest23  ,  Drug Design  ,  Penalizing System,Salah lFrog",310,5,0,1,0,support,low
7,0.92,0.51,"  Drug Design  ,Farmy,Salah lFrog,  AiFest23  ",167,3,1,0,0,IT,medium
8,0.44,0.52,"Smurfs,  Drug Design  ",128,3,0,1,0,technical,medium
9,0.39,0.49,"  Penalizing System,Raid Dorms Cook",127,3,0,1,0,IT,medium
10,0.7,0.44,"Raid Dorms Cook,Smurfs",131,2,0,0,0,sales,low
11,0.88,0.98,"  AiFest23  ,SecCamp ,Smurfs  ",160,2,0,0,0,product_mng,medium
12,0.17,0.61,"AiFest23,SecCamp ,Smurfs,Smurfs  , SecCamp ,WebCamp",154,10,1,0,0,sales,medium
13,,0.56,"Salah lFrog,Penalizing System",129,3,0,1,0,sales,low
14,,0.53,"Smurfs,Smurfs  ,AiFest23,Salah lFrog, SecCamp ",141,2,0,0,0,accounting,low
15,0.09,0.9,"Salah lFrog,  Penalizing System,Farmy,  AiFest23  ,Raid Dorms Cook,SecCamp ,Penalizing System",289,4,0,1,0,product_mng,low
16,0.32,0.64,"Smurfs, SecCamp ,  Penalizing System",151,3,0,0,0,support,low
17,,0.94,"AiFest23, SecCamp ,Salah lFrog,Raid Dorms Cook",264,4,0,0,0,technical,low
18,0.8,0.88,"Farmy,  Penalizing System,WebCamp,Penalizing System,Salah lFrog",199,4,0,0,0,support,low
19,0.57,0.39,"Farmy,Penalizing System",145,3,0,0,0,sales,medium
20,0.69,0.85,"  Drug Design  ,Smurfs  ,SecCamp ",153,10,0,0,0,support,medium
21,0.55,0.98,"Penalizing System,Raid Dorms Cook,  AiFest23  ,  Drug Design  ",185,2,1,0,0,marketing,low
22,0.45,0.87,"Smurfs,Salah lFrog",268,4,1,0,0,IT,low
23,0.96,0.62,"Penalizing System,Farmy,Salah lFrog,AiFest23",253,7,0,0,0,sales,medium
24,0.68,0.81,"Smurfs  ,WebCamp, SecCamp ",166,2,0,0,0,IT,medium
